entity,type
1ST SOURCE BANK,Bank
A & S CAPITAL,Fund
ACQUISITION CAPITAL,
ALPHA TECH LENDING,
ALTA CAPITAL GROUP,
ALTISOURCE ASSET MANGEMENT,
AMERANT BANK,Bank
AMERASIA BANK,Bank
AMERICAN COMMERCE BANK,Bank
AMERICAN MOMENTUM BANK,Bank
AMERICAN REAL ESTATE CAPITAL,
AMERIS BANK,Bank
ANCHOR BANK,Bank
ANCHOR CAPITAL GROUP,
ANTHEM BANK & TRUST,Bank
APEX CAPITAL REALTY,Broker
ARAD HOLDINGS,Partner
ARC,
ARENA INVESTORS,
ARGENTIC MANAGEMENT,
AS IS LOANS,
ASLD REALTY,Broker
ATKOS CAPITAL,
AUREUS FINANCE GROUP,
AVAIL HOLDING,
AVISON YOUNG,Broker
AXIOM BANK NATIONAL ASSN,Bank
AXOS BANK,Bank
BAC FLORIDA BANK,
BAKER COLLINS & CO,
BANCO DO BRASIL AMERICAS,Bank
BANCO SANTANDER,Bank
BANESCO,Bank
BANK OF BELLE GLADE,Bank
BANK OF CENTRAL FLORIDA,Bank
BANK OF ENGLAND,Bank
BANK OF PENSACOLA,Bank
BANK OF TAMPA,Bank
BANK OZK,Bank
BANK UNITED,Bank
BANKFLORIDA,Bank
BANKPLUS,Bank
BARWICK BANKING COMPANY,Bank
BAYFIRST NATIONAL BANK,Bank
BAYPORT FUNDING,Fund
BBX CAPITAL,
BEACON FINANCIAL RESOUCES GROUP INC,
BEAL BANK USA,Bank
BELMONT BANK & TRUST COMPANY,Bank
BENEDICT REALTY GROUP,
BENEFICIAL COMMUNITIES INC,Partner
BENWORTH CAPITAL,Fund
BERKADIA,Broker
BERKOWITZ POLLACK BRANT ADVISORS,
BEST MERIDIAN INSURANCE COMPANY,Fund
BGI CAPITAL,Fund
BGI FINANCIAL,Fund
BH3,Broker
BIGEYE FINANCIAL,Fund
BINDOR LLC,Partner
BLAXBERG GRAYSON PA,Broker
BLUE JAY CAPITAL,Partner
BLUEFIN CAPITAL,
BLUESTONE COMMERCIAL CAPITAL,
BMO CAPITAL MARKETS,
BNY MELLON,Bank
BRADESCO BANK,Bank
BRANNEN BANK,Bank
BRICKELL CAPITAL FINANCING,
BRICKELL PARK CAPITAL,
BRIDGE MORTGAGE BANKERS,
BRIDGEINVEST,Fund
BRIDGEWELL CAPITAL LLC,
BROWNSTONE MORTGAGE CAPITAL CORPORATION,
BULL FUNDING,
BUNNELL CAPITAL,Partner
BUSEY BANK,Bank
C BRIDGE INC,
CADENCE BANK,Bank
CAMBRIDGE WILKINSON,
CANYON PARTNERS REAL ESTATE LLC,
CAPITAL BANK,Bank
CAPITAL CITY BANK,Bank
CAPITAL FUNDING FINANCIAL,Fund
CAPITAL FUNDING SERVICES,Fund
CAPITAL ONE BANK,Bank
CAZ CREEK LENDING LLC,
CCB COMMUNITY BANK,Bank
CELESTIAL FUND,Fund
CENTENNIAL BANK,Bank
CENTRAL BANK,Bank
CENTURY 21,Broker
CENTURY BANK OF FLORIDA,Bank
CHEMTOV/CMG,
CHURCHILL REAL ESTATE,
CIBC BANK USA,Bank
CIBC NATIONAL TRUST COMPANY,Bank
CIRQUE CAPITAL LLC,
CITIZENS BANK,Bank
CITIZENS BANK & TRUST,Bank
CITIZENS FIRST BANK,Bank
CITY NATIONAL BANK,Bank
CLIMATE FIRST BANK,Bank
CMG CAPITAL,Fund
COGENT BANK,Bank
COLUMBUS CAPITAL LENDING,
COMERICA BANK,Bank
COMMERCE BANK,Bank
COMMUNITY BANK OF MISSISSIPPI,Bank
COMMUNITY BANK OF THE SOUTH,Bank
COMMUNITY CAPITAL HOLDINGS,
COMPASS FT LAUDERDALE,Broker
COMPASS FUNDING SOLUTIONS,Fund
CONNECT ONE BANK,Bank
CONTRARIA DEVELOPMENT,Broker
CORAL CONSTRUCTION COMPANY,Developer
CORCORAN GROUP,Broker
CPP,Broker
CRESCENT BANK,Bank
CRESTLINE CAPITAL,Fund
CREWS BANK & TRUST,Bank
CRIMSON EQUITIES,Fund
CROSBY CAPITAL,Fund
CSK LAW,Broker
CTC FINANCIAL PA,
CYPRESS BANK & TRUST,Bank
DANNY GAEKWAD DEVELOMENT & INVESTMENTS,Partner
DEC LENDING,
DESJARDINS BANK NA,Bank
DEUTCHE BANK,Bank
DHC PRIVATE LENDING LLC,Fund
DLP BANK,Bank
DLP CAPITAL,Fund
DORNIN INVESTMENT GROUP,Fund
DOSTER CAPITAL GROUP,Fund
DWIGHT CAPITAL,Fund
EAGLE PROPERTY CAPITAL,Partner
EAST WEST BANK,Bank
EASTERN FINANCIAL,Fund
EASTERN NATIONAL BANK,Bank
EASTERN REAL ESTATE,Partner
EASTWIND DEVELOPMENT LLC,Partner
EASY CLOSE CAPITAL,Broker
EDGE ASSET MANAGEMENT,Broker
EDISON NATIONAL BANK,Bank
ELECTRA CAPITAL,
ELION PARTNERS,Fund
ELITE LENDING,Fund
ELYSEE INVESTMENTS INC,Partner
EMCAP LENDING,Fund
EMIGRANT BANK,Bank
ENCORE BANK,Bank
ENSOURCE FINANCIAL CORP,
ENTERPRISE BANK & TRUST,Bank
EQUITY CAP LENDING,
EQUITY LENDING SOLUTIONS,
ERITHMITIC,
EVERBANK,Bank
EVERMORE BANK,Bank
FCB,Bank
FENG CAPITAL INC,
FIDELITY BANK,Bank
FIELDPOINT PRIVATE BANK & TRUST,Bank
FILLER CAPITAL,Broker
FILLMORE REAL ESTATE,Broker
FINEMARK NATIONAL BANK & TRUST,Bank
FIRST AMERICAN BANK,Bank
FIRST AMERICAN TRUST FSB,Bank
FIRST BANK,Bank
FIRST BANK PUERTO RICO,Bank
FIRST CITIZENS,Bank
FIRST COLONY BANK OF FLORIDA,Bank
FIRST FEDERAL BANK,Bank
FIRST FINANCIAL,Bank
FIRST FOUNDATION BANK,Bank
FIRST HORIZON,Bank
FIRST NATIONAL BANK OF COFFEE COUNTY,Bank
FIRST NATIONAL BANK OF DECATUR COUNTY,Bank
FIRST NATIONAL BANK OF PASCO,Bank
FIRST NATIONAL BANKER'S BANK,Bank
FIRST NB OF MOUNT DORA,Bank
FIRST NB OF WAUCHULA,Bank
FIRST PORT CITY BANK,Bank
FIRST QUALITY LENDING LLC,
FIRST SECURITY BANK,Bank
FIRST SOUTHERN BANK,Bank
FIRST STB OF THE FL KEYS,Bank
FIRST UNITED BANK,Bank
FIRST-CITIZENS BANK & TRUST COMPANY,Bank
FLAGSHIP BANK,Bank
FLAGSTAR BANK,Bank
FLORIDA CAPITAL BANK NA,Bank
FLORIDA FIRST CAPITAL,Fund
FLORIDA PROPERTY DEVELOPMENTS,
FM CAPITAL,
FNBT BANK,Bank
FORMAN CAPITAL,Fund
FORMATION CAPITAL,Fund
FORT KNOX CAPITAL,
FORTUNE FINANCIAL,Partner
FOXY MANAGEMENT,Partner
FROST BANK,Bank
FUNDFIND LENDING,Fund
FUSE GROUP,Fund
GALA BANK,Bank
GALLIUM LLC,Fund
GEM STAR CAPITAL LLC,Fund
GENX CAPITAL PARTNERS LLC,Fund
GKI VENTURES,Fund
GLOBAL PORTFOLIO TRADING INC,
GOKAPITAL,Fund
GOLDMAN SACHS,Broker
GOLDSMITH EQUITY GROUP,Fund
GOODMAN CAPITAL,Fund
GRAND BEACH HOTEL GROUP,Partner
GRAVITY CAPITAL,Fund
GREYSTONE,Fund
GROUP P6 BRORA CAPITAL,Broker
GROUP PARAGON PARTNERS,Broker
GROVE BANK & TRUST,Bank
GROVE CAPITAL FINANCE,
GUARDIAN CAPITAL LENDERS,
GULF ATLANTIC BANK,Bank
GULF COAST BANK AND TRUST COMPANY,Bank
GULF COAST BUSINESS BANK,Bank
GULFSIDE BANK,Bank
HANCOCK WHITNEY BANK,Bank
HARD MONEY COMPANY,
HARD MONEY LENDERS,Fund
HARD MONEY LOAN SOLUTIONS INC,Fund
HEARTLAND NATIONAL BANK,Bank
HEATON COMPANIES,Partner
HELM BANK USA,Bank
HIGHLINE REAL ESTATE CAPITAL,Partner
HILCO REAL ESTATE,
HML INVESTMENTS,
HNB FIRST BANK,Bank
HORVATH & TREMBLAY,Broker
HOTEL AVE,Partner
HOTEL EQUITIES,Partner
HOUSING TRUST GROUP,Partner
HULSEBUS COMMERCIAL LENDING LLC,Fund
HUMILIS,Partner
HUNTER HOTEL ADVISORS,Broker
IBERIABANK,Bank
ICC ASSOCIATES,Broker
ILLINOIS NATIONAL BANK,Bank
IMC EQUITY GROUP,Partner
INB NATIONAL ASSOCIATION,Bank
INCREDIBLEBANK,Bank
INDEPENDENT BANK,Bank
INFINITY COLLECTIVE,Partner
INSOURCE FUNDING,
INTEGRO HEALTHCARE,Partner
INTERAMERICAN BANK,Bank
INTERCORP MS LLC,
INTERCREDIT BANK,Bank
INTERNATIONAL FINANCE BANK,Bank
INTERNATIONAL LENDERS INC,
INTERNATIONAL MONETARY MORTGAGE FUND INC,Fund
INTERNATIONAL MORTGAGE INVESTORS,Broker
INTRACOASTAL BANK,Bank
INVERSIONES DO EMILIO CORP,
IP CAPITAL PARTNERS,Partner
IPAVA STATE BANK,Bank
IRCA CAPITAL,Broker
IRONWOOD REALTY CAPITAL,
ISRAEL DISCOUNT BANK,Bank
ISTAR,
ITABLBANK,Broker
ITWINS FINANCIAL INC,
JACOG FINANCIAL GROUP,
JILLS ZEDER,Broker
JOCIC CAPITAL LLC,
JOHNSON CAPITAL LENDING GROUP,
JY CAPITAL GROUP,Fund
KAWA CAPITAL,Fund
KEEL HARBOUR CAPITAL,
KENNEDY FUNDING,
KENWOOD MANAGEMENT,Partner
KERWIN MORTGAGE CORP,
KESK GLOBAL ADVISING LLC,
KEYSTONE NATIONAL GROUP,
KHARI JORDAN LLC,
KLEIN MORTGAGE,Broker
KLICK MORTGAGE INC,
KORTH DIRECT MORTGAGE,Fund
KUSHNER CO,Fund
LAFAYETTE STATE BANK,Bank
LAKE FOREST BANK & TRUST,Bank
LANCEWOOD CAPITAL,Fund
LANDMARK COMPANIES,Partner
LENDING SPOT,Broker
LESTE GROUP,Fund
LIBERTY SAVINGS BANK FSB,Bank
LIMITLES CAPITAL,Fund
LINKVEST CAPITAL,
LION FOX PARTNERS,
LNR,Fund
LOCALITY BANK,Bank
LOGOS CAPITAL,Broker
LONDON FINANCIAL COMPANY,Bank
LRL FINANCIAL,Fund
LUXURY MORTGAGE,
LV LENDING,Fund
M & M PRIVATE LENDING GROUP,Fund
MADISON CNTY CMTY BANK,Bank
MADISON REALTY CAPITAL,Fund
MAGNOLIA BANK INCORPORATED,Bank
MAINSTREET CMTY BANK OF FL,Bank
MALIBU MARK,Broker
MARCUS & MILLICHAP,Broker
MARINE BANK & TRUST CO,Bank
MAVERICK COMMERCIAL PROPERTIES,
MAXIM CAPITAL GROUP,Fund
MCWHINNEY INVESTMENT GROUP,Partner
MEMBERS TRUST CO,Bank
MERIDIAN CAPITAL,Broker
METRO CITY BANK,Bank
MIAMI CAPITAL LENDING,
MIDSOUTH BANK,Bank
MIDTOWN EQUITIES,Partner
MIDWOOD CAPITAL PARTNERS,
MILLENNIUM BANK,Bank
MILLION ACRES REALTY,Broker
MILO,
MISSION CAPITAL,Fund
MIZUHO AMERICAS,
MONARCH ALTERNATIVE CAPITAL,Fund
MORRISON AVENUE CAPITAL PARTNERS,Partner
MSD CAPITAL,Fund
MTAG INVESTMENTS,
MULTILENDING GROUP LLC,
NAI HIFFMAN,Broker
NATBANK NATIONAL ASSN,Bank
NATIONWIDE LENDING DIRECT,
NEIGHBORHOOD HOUSING SERVICES OF SOUTH FLORIDA INC,
NEW WAVE,Fund
NEWTEK BANK,Bank
NEXUS COMMERCIAL FINANCE INC,
NICOLET NATIONAL BANK,Bank
NOMURA,
NUROCK COMPANIES,Partner
NXT CAPITAL,Fund
OCEAN BANK,Bank
OLD DOMINION NATIONAL BANK,Bank
OLIVE TREE HOLDINGS,Partner
ONE FLORIDA BANK,Bank
ONEUNITED BANK,Bank
ONYX FUNDING,Fund
OPTIMUM BANK,Bank
ORIGIN BANK,Bank
ORION MIAMI,Partner
OULETTE EQUITIES,Broker
OWS REAL ESTATE FINANCE,
PACIFIC NATIONAL BANK,Bank
PACIFIC REACH,Partner
PALERMO FINANCIAL GROUP,
PALISADES,Fund
PARADISE BANK,Bank
PEACHTREE GROUP,Fund
PEAK CAPITAL RE,Partner
PEOPLES BANK OF GRACEVILLE,Bank
PEOPLESSOUTH BANK,Bank
PEPE BERARD CAPITAL,Fund
PINE PEAK PARTNERS,Fund
PINELAND BANK,Bank
PINEYRO CAPITAL GROUP INC,
PINNACLE BANK,Bank
PNB COMMUNITY BANK,Bank
PNC PRIVATE CAPITAL,Fund
POPULAR BANK,Bank
POROSOFF + PARTNERS,Broker
PRIDECO CAPITAL,Fund
PRIME ASSET FUND,Fund
PRIME EQUITY FINANCIAL,Broker
PRIME GROUP,Partner
PRIME MERIDIAN BANK,Bank
PRIME RESOURCE CAPITAL LLC,
PRIMESOUTH BANK,Bank
PRIVATE LENDER LLC,
PROCACCIANTI COMPAIES,Partner
PROPCAP ADVISORS,
R & R CAPITAL HOLDINGS,Broker
RBI CAPITAL,Fund
RCN CAPITAL,
READY CAPITAL,
REAL HOSPITALITY GROUP,Partner
REALCAP FINANCIAL CORP,
RED OAK CAPITAL,Fund
REGALIA MANAGER INC,
REGIONS BANK,Bank
REHAB FINANCIAL GROUP LP,
REMAX,Broker
RENASANT BANK,Bank
REPUBLIC BANK & TRUST COMPANY,Bank
RESCUE LEND FINANCIAL,
RICE PARK CAPITAL,
RIGHT MEOW CAPITAL,Fund
RIVO ALTO PARTNERS LLC,
ROC CAPITAL BY ROC360,
ROK LENDING,Fund
RSLT CAPITAL MANAGEMENT,
RUULIO FINANCIAL GROUP INC,
RWN MANAGEMENT,
SAFEHOLD,
SAFRA NATIONAL BANK OF NEW YORK,Bank
SALUDA GRADE,
SANIBEL CAPTIVA CMTY BANK,Bank
SEACOAST,Bank
SECURED DEBT INVESTMENTS,
SECURED HORIZON,
SERVAIS & SWEENY PROPERTY CO LLC,Partner
SERVISFIRST BANK,Bank
SFMI LENDING CAPITAL INC,
SHERIDAN CAPITAL,Fund
SKYBROOK CAPITAL,Fund
SMARTBANK,Bank
SOLARIS CAPITAL,Fund
SOUTHEAST BANKERS MORTGAGE CORP,
SOUTHEAST FIRST NATIONAL BANK,Bank
SOUTHEASTERN BANK,Bank
SOUTHSTATE BANK,Bank
STEARNS BANK,Bank
STONEHILL CAPITAL,Fund
STONEROCK CAPITAL PARTNERS,Partner
STORMFIELD CAPITAL,Fund
STX GROUP,
SUMITOMO MITSUI,
SUNRISE BANK,Bank
SUNSTATE BANK,Bank
SUNWEST BANK,Bank
SURE EQUITY,Fund
SURETY BANK,Bank
SYNOVUS,Bank
TABARES GROUP,
TAYLOR MADE LENDING,Fund
TC FEDERAL BANK,Bank
TCM BANK NATIONAL ASSN,Bank
TD BANK,Bank
TERRA BANK,Bank
THE CENTRAL TRUST BANK,Bank
THE CLAXTON BANK,Bank
THE MAXOUT GROUP LLC DBA MAXOUT FUNDING,
THE Q KAPITAL GROUP CORP,
THE VESTCOR COMPANIES INC,Partner
THIRD FEDERAL SAVINGS AND LOAN,Bank
THOMASVILLE NATIONAL BANK,Bank
THOROUGHFARE CAPITAL,Fund
TIG ROMSPEN,Fund
TILLAGETECH,Broker
TOBY MUG FINANCING,
TOORAK CAPITAL,Fund
TORUS CAPITAL GROUP,Broker
TRANSWESTERN,Broker
TREPANIER & ASSOCIATES INC,Partner
TREZ CAPITAL,Fund
TRUSTCO BANK,Bank
TRUSTMARK NATIONAL BANK,Bank
TURRET EQUITIES,Fund
TWO BINS CAPITAL,Broker
UNITED BANK,Bank
UNITED COMMUNITY BANK,Bank
UNITED FIDELITY BANK FSB,Bank
UNITED SOUTHERN BANK,Bank
URBAN STANDARD,
US CENTURY BANK,Bank
VALLEY BANK,Bank
VANTAGE CAPITAL PARTNERS,Partner
VARDE PARTNERS,Lender
VARDEN CAPITAL PROPERTIES,Partner
VASTER,Fund
VELLA GROUP,Broker
VENTURE CAPITAL PROPERTIES,
VERTIX GROUP,Fund
VESTORCORP MANAGEMENT LLC,
VICTORY CAPITAL INC,Broker
VISTA BANK,Bank
WARRINGTON BANK,Bank
WATERFALL BANK,Bank
WEALTH ASSETS,Broker
WEST BAY CAPITAL LLC,Fund
WESTERN ALLIANCE,Bank
WINGSPIRE CAPITAL,
WINSTON CAPITAL MANAGEMENT,Partner
WINTER PARK NATIONAL BANK,Bank
WINTRUST BANK,Bank
WINTRUST FINANIAL CORP,Broker
WOODFOREST NATIONAL BANK,Bank
YALE MORTGAGE,
YELLOWFIN FINANCIAL,Fund
YIELD STREET,
ZINC FINANCIAL INC,
